Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,19701940.0,20531160.0,21487079.0,22507368.0,23499850.0,24399948.0,25183615.0,25877544.0,26528741.0,27207291.0,27962207.0,28809167.0,29726803.0,30682500.0,31627506.0,32526562.0
Albania,3089027.0,3060173.0,3051010.0,3039616.0,3026939.0,3011487.0,2992547.0,2970017.0,2947314.0,2927519.0,2913021.0,2904780.0,2900247.0,2896652.0,2893654.0,2889167.0
Algeria,31183658.0,31590320.0,31990387.0,32394886.0,32817225.0,33267887.0,33749328.0,34261971.0,34811059.0,35401790.0,36036159.0,36717132.0,37439427.0,38186135.0,38934334.0,39666519.0
American Samoa,57522.0,58176.0,58729.0,59117.0,59262.0,59117.0,58648.0,57904.0,57031.0,56226.0,55636.0,55316.0,55227.0,55302.0,55434.0,55538.0
Andorra,65399.0,67770.0,71046.0,74783.0,78337.0,81223.0,83373.0,84878.0,85616.0,85474.0,84419.0,82326.0,79316.0,75902.0,72786.0,70473.0
Angola,15058638.0,15562791.0,16109696.0,16691395.0,17295500.0,17912942.0,18541467.0,19183907.0,19842251.0,20520103.0,21219954.0,21942296.0,22685632.0,23448202.0,24227524.0,25021974.0
Antigua and Barbuda,77648.0,78972.0,80030.0,80904.0,81718.0,82565.0,83467.0,84397.0,85350.0,86300.0,87233.0,88152.0,89069.0,89985.0,90900.0,91818.0
Argentina,37057453.0,37471535.0,37889443.0,38309475.0,38728778.0,39145491.0,39558750.0,39969903.0,40381860.0,40798641.0,41222875.0,41655616.0,42095224.0,42538304.0,42980026.0,43416755.0
Armenia,3076098.0,3060036.0,3047249.0,3036420.0,3025982.0,3014917.0,3002161.0,2988117.0,2975029.0,2966108.0,2963496.0,2967984.0,2978339.0,2992192.0,3006154.0,3017712.0
Aruba,90858.0,92894.0,94995.0,97015.0,98742.0,100031.0,100830.0,101218.0,101342.0,101416.0,101597.0,101936.0,102393.0,102921.0,103441.0,103889.0
Australia,19153000.0,19413000.0,19651400.0,19895400.0,20127400.0,20394800.0,20697900.0,20827600.0,21249200.0,21691700.0,22031750.0,22340024.0,22728254.0,23117353.0,23464086.0,23781169.0
Austria,8011566.0,8042293.0,8081957.0,8121423.0,8171966.0,8227829.0,8268641.0,8295487.0,8321496.0,8343323.0,8363404.0,8391643.0,8429991.0,8479375.0,8541575.0,8611088.0
